lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
en,10990681,7285518,7097098,89906,78.93909194047116,1.0,English,English,6787545.0,60054799.0,1204836026.0,869.0,46986811.0,125733.0,914441.0,1235.0,159.0,131.0,197594.0,151995.0,1.0,0.003115264797507788,True,1.0,0.006802721088435374,high
de,1872097,1334607,681348,16115,42.28035991312442,3.0,German,Deutsch,2884764.0,7953741.0,240873331.0,175.0,4318676.0,18678.0,129274.0,93.0,138.0,83.0,46871.0,20534.0,2.0,0.006230529595015576,True,2.0,0.013605442176870748,high
fr,1773411,1171480,632639,23072,27.42020631067961,4.0,French,français,2593248.0,12960484.0,212234180.0,146.0,4865765.0,18026.0,71339.0,261.0,141.0,94.0,43574.0,15669.0,3.0,0.009345794392523364,True,3.0,0.02040816326530612,high
es,1668403,1155537,730481,23111,31.607502920687118,8.0,Spanish,español,1933327.0,8106938.0,157904530.0,58.0,7074655.0,15144.0,0.0,198.0,142.0,93.0,45062.0,13060.0,4.0,0.012461059190031152,True,4.0,0.027210884353741496,high
it,1076109,734596,312550,15030,20.795076513639387,9.0,Italian,italiano,1849384.0,7923801.0,137702268.0,120.0,2484476.0,8153.0,123945.0,187.0,137.0,83.0,26558.0,6568.0,7.0,0.021806853582554516,True,8.0,0.05442176870748299,mid
ru,981552,602887,454856,14294,31.82146355114034,7.0,Russian,русский,1965498.0,7900005.0,135997744.0,70.0,3535332.0,9975.0,249494.0,156.0,141.0,79.0,34703.0,9054.0,5.0,0.01557632398753894,True,6.0,0.04081632653061224,high
nl,672928,496079,120127,30237,3.9728478354334094,6.0,Dutch,Nederlands,2151216.0,4609210.0,66916454.0,35.0,1328251.0,3893.0,20.0,18.0,98.0,57.0,11670.0,3461.0,11.0,0.03426791277258567,True,12.0,0.08163265306122448,mid
zh,620971,368006,419822,11377,36.90094049397908,12.0,Chinese,中文,1405615.0,7636006.0,81174250.0,63.0,3474820.0,7340.0,66241.0,208.0,132.0,77.0,24467.0,5773.0,8.0,0.024922118380062305,True,9.0,0.061224489795918366,mid
pt,600636,433405,282137,15713,17.955641825240246,18.0,Portuguese,português,1119337.0,5652308.0,67338735.0,51.0,3035224.0,8509.0,61133.0,195.0,133.0,82.0,26515.0,5629.0,9.0,0.028037383177570093,True,7.0,0.047619047619047616,high
cy,588132,58040,13656,4322,3.1596483109671447,41.0,Welsh,Cymraeg,280336.0,477984.0,12275679.0,16.0,87353.0,125.0,11354.0,12.0,66.0,20.0,1815.0,106.0,69.0,0.21495327102803738,True,76.0,0.5170068027210885,low
vi,573299,381731,168091,23309,7.211420481359132,15.0,Vietnamese,Tiếng Việt,1291164.0,19458755.0,71108753.0,18.0,945208.0,1702.0,26285.0,723.0,127.0,65.0,15675.0,1725.0,20.0,0.06230529595015576,True,21.0,0.14285714285714285,mid
ja,534072,382953,244479,7854,31.1279602750191,13.0,Japanese,日本語,1404970.0,4133434.0,99154986.0,40.0,2171285.0,13682.0,4421.0,90.0,129.0,62.0,22049.0,7402.0,6.0,0.018691588785046728,True,5.0,0.034013605442176874,high
pl,518008,390327,177679,10375,17.125686746987952,11.0,Polish,polski,1604350.0,3691275.0,72737704.0,99.0,1291648.0,4838.0,262.0,33.0,115.0,53.0,14602.0,4124.0,10.0,0.03115264797507788,True,11.0,0.07482993197278912,mid
sv,511000,379380,180082,30364,5.930773284152286,5.0,Swedish,svenska,2577600.0,6222940.0,54362223.0,64.0,899636.0,2300.0,0.0,17.0,111.0,49.0,9612.0,2842.0,12.0,0.037383177570093455,True,19.0,0.1292517006802721,mid
ca,489370,314874,132153,11202,11.797268344938404,20.0,Catalan,català,744087.0,1861814.0,33091958.0,28.0,474753.0,1344.0,11526.0,40.0,118.0,57.0,14572.0,1460.0,24.0,0.07476635514018691,True,26.0,0.17687074829931973,mid
ar,475970,298779,261277,11485,22.74941227688289,17.0,Arabic,العربية,1227659.0,8367880.0,66136618.0,23.0,2547899.0,3892.0,53813.0,267.0,132.0,76.0,21696.0,2309.0,16.0,0.04984423676012461,True,13.0,0.08843537414965986,mid
he,390161,260379,62563,4842,12.920900454357703,37.0,Hebrew,עברית,350006.0,1482947.0,38046028.0,28.0,1151924.0,3463.0,78736.0,268.0,111.0,59.0,8435.0,2448.0,15.0,0.04672897196261682,True,15.0,0.10204081632653061,mid
